"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PECUL23A000004",557.410163741543,0.396803830452917,0.552343010700885,0.718401107220313,0.472510004317738,0.868206423878104
"PECUL23A000011",943.901928407003,0.26981370600462,0.186814449615263,1.44428713389296,0.148658223402414,0.669275663588014
"PECUL23A000017",308.99016498123,-0.179686783667752,0.488896298605274,-0.367535577954596,0.713219558547449,0.943288630074707
"PECUL23A000021",389.350898298656,-0.191658039355708,0.128667735719658,-1.48955787776738,0.136340524460163,0.654656811742144
"PECUL23A000024",61.2082159688066,1.06633797249669,0.796622249993249,1.33857417678923,0.180709337424909,0.699094683700532
"PECUL23A000026",121.046475617243,0.384617949484861,0.546228122367603,0.704134287004028,0.481349149429418,0.871428651440521
"PECUL23A000030",311.762036941771,-0.236936533577974,0.191316502163685,-1.23845319613494,0.215548066350506,0.726448220309699
"PECUL23A000040",9338.21031028658,-0.0678885270905598,0.142156915928985,-0.477560494661221,0.632963054313077,0.922564977217694
"PECUL23A000044",102.724894447528,-0.148456954564497,0.245126634725026,-0.605633715532506,0.544758008604141,0.895508149613074
"PECUL23A000048",117.053244186012,-0.196715220111607,0.204583233591199,-0.961541259557401,0.336280090331253,0.801436157041434
"PECUL23A000050",1.67818991509292,0.828666565032618,1.35486304776405,0.611623858514835,0.540786649070334,NA
"PECUL23A000053",72.4097739970289,0.0421662323601879,0.554177505938016,0.0760879536039922,0.939349123989044,0.987863319587209
"PECUL23A000055",165.710991339278,-0.101807997028782,0.268930684416262,-0.378565938839464,0.705010219615348,0.94172301430077
"PECUL23A000057",21.5135106367773,0.0956483883126882,0.53937689404174,0.177331267559426,0.859248192015881,0.973260204110989
"PECUL23A000059",253.730234866232,0.447834214580268,0.334252156302416,1.33980950051101,0.180307286143946,0.698753167130053
"PECUL23A000062",133.218126947102,0.126401772987383,0.231696208589989,0.545549595984386,0.585375579759271,0.90968941582928
"PECUL23A000066",11418.2079855148,0.100503561464566,0.417423157260301,0.240771408381382,0.809732290607201,0.965630048701564
"PECUL23A000072",119.954757694277,-0.0790786024678221,0.14794805502351,-0.53450248099075,0.592993933421493,0.911732714617499
"PECUL23A000075",779.91399326009,-0.170806932021399,0.329231646941109,-0.518804718830545,0.603896926928431,0.914122724664872
"PECUL23A000078",311.285674665423,-0.11305047137012,0.199158993061745,-0.567639299798382,0.570279916003839,0.902416632761334
"PECUL23A000079",131.871090272685,-0.110866187707709,0.24441058494789,-0.453606326957346,0.650112198847723,0.927593596642923
"PECUL23A000080",13.4853252357869,-0.0879003329019271,0.461022039234692,-0.190664058160525,0.848788799489688,0.971870134206461
"PECUL23A000084",4.92938232964697,1.11127924761864,1.81796103035131,0.611277815676774,0.541015674984158,0.894363022793458
"PECUL23A000086",592.502611645854,-0.0483236026688721,0.275229742219518,-0.175575511131824,0.860627442743257,0.973397848896957
"PECUL23A000091",855.708047185403,-0.621573085689568,0.415540078105445,-1.49581982205779,0.134700614432789,0.653490030799584
"PECUL23A000093",13.162965037427,-0.517345983701893,0.509680181546229,-1.01504041638898,0.310086562099786,0.789444085407999
"PECUL23A000094",16.8755280172973,0.777650803629401,0.840220400952519,0.925531923228494,0.354689286189448,0.811599651745349
"PECUL23A000095",1.97414194231603,0.557049871525368,1.11882953015729,0.497886278928531,0.618564198901083,NA
"PECUL23A000096",14.1313837752918,0.711933215989957,0.510800568954235,1.39375963783185,0.163390200294381,0.684423992664827
"PECUL23A000099",0.866430062734292,1.77366520534341,1.71670930103056,1.03317737270874,0.301520899891417,NA
"PECUL23A000104",118.379608330881,0.392453600060275,0.233967022131617,1.67738853315619,0.0934665302034505,0.593233609352454
"PECUL23A000107",206.189170400322,0.194358223898009,0.159507353384336,1.21849068255618,0.223037563371161,0.730313910586378
"PECUL23A000109",6.12554141856329,0.0382666196745242,0.92495053941085,0.0413715307403337,0.966999708536636,0.992974518296515
"PECUL23A000111",298.645550618199,-0.815005669416976,0.332806790672992,-2.44888533605007,0.0143299058701853,0.3348014259886
"PECUL23A000117",205.317957347149,-0.175565430862226,0.389362821623338,-0.450904454950925,0.652058412570707,0.927861941655087
"PECUL23A000118",795.312644154802,-0.183342434398133,0.200565823238041,-0.914126003314799,0.360650640350403,0.816586429807478
"PECUL23A000121",131.340154377092,-0.434297329198199,0.277360939160903,-1.56582008451541,0.117390742885767,0.632192680024499
"PECUL23A000125",116.972769540975,0.041260622947104,0.192045535185477,0.214848123947555,0.829885731405702,0.9691855949907
"PECUL23A000127",1061.69520206241,0.425136148187555,0.31065709714335,1.36850615066225,0.171153698073798,0.691880340739098
"PECUL23A000129",49.1348591398743,-0.141632291447433,0.307089045227788,-0.461209195340639,0.644648525118149,0.926737792962232
"PECUL23A000136",1285.06722807349,-0.827206241500389,0.464961873371083,-1.77908402575667,0.0752259872174053,0.559811752834554
"PECUL23A000142",274.157179495194,-1.09422066185194,0.400040172601632,-2.73527694665202,0.00623278120500347,0.260209971867457
"PECUL23A000144",197.809008567584,0.658992598477337,0.348973948265999,1.88837190211984,0.058976040702785,0.523626830384169
"PECUL23A000152",376.546377680831,0.0856989680491801,0.102658637678746,0.83479549297509,0.403832863935363,0.833847139250879
"PECUL23A000160",395.792989488816,-0.0199707227154243,0.167510121091674,-0.119220991455763,0.905100276479251,0.983618491843039
"PECUL23A000163",1559.25518524974,-0.380922833036863,0.267684248093844,-1.42303043884495,0.154727331542513,0.671710304608785
"PECUL23A000171",272.616067714898,-0.13980161931645,0.182337349719581,-0.766719597117392,0.443248249422795,0.852801698519235
"PECUL23A000177",709.784876424242,-0.339687264835722,0.177721115773067,-1.91135005740945,0.0559596102103729,0.515724044444199
"PECUL23A000187",1024.31095615635,0.217344857717823,0.169033440605033,1.28580981928703,0.198509442466691,0.712687596434202
"PECUL23A000193",2244.83979470584,0.0556135636824491,0.128360343006035,0.433261257955926,0.664824980274819,0.932057367769024
"PECUL23A000194",7747.60067916886,0.394278556752525,0.474925428629517,0.830190453036569,0.406431112122099,0.834448741796748
"PECUL23A000197",1.56217441110211,-0.0212830544061947,1.38167793485921,-0.0154037738240087,0.98771005270841,NA
"PECUL23A000200",48.5048567758813,0.122233004890503,0.660431917218877,0.185080402239241,0.853165972793378,0.972309953030857
"PECUL23A000202",52.9115164575704,-0.0819692285734877,0.281505497892944,-0.291181625890164,0.770912414438536,0.955354171005344
"PECUL23A000205",4.95590570478862,0.587497931305609,1.62542723378037,0.361442160618426,0.717768935550515,0.944665421734567
"PECUL23A000206",127.117625197618,0.339605796528616,0.813829155592772,0.417293720917698,0.676463580736931,0.933998986322227
"PECUL23A000210",95.7085574585089,-0.107813676354153,0.613561638753118,-0.175717759300031,0.860515682491014,0.973397848896957
"PECUL23A000216",19.8573331212422,0.715462459461531,0.386107102635095,1.85301553527158,0.063880131994391,0.537489169059931
